Venda ID,Produto,Data,Hora,Quantidade,Preço Unitário,Cliente ID,Forma Pagamento,Preço Total
9856,Brioche,01/01/2024,08:04:10,1,25.0,104,Cartão de Crédito,25.0
4756,Azapa,01/01/2024,08:04:23,2,34.0,192,Dinheiro,68.0
8990,Tartelete de caramelo e chocolate,01/01/2024,08:05:33,4,16.0,160,Cartão de Crédito,64.0
4592,Croissant,01/01/2024,08:11:38,7,11.5,144,Cartão de Débito,80.5
797,Cruffin de Creme de Avelã,01/01/2024,08:21:55,3,16.0,192,Dinheiro,48.0
2575,Tradicional/Seu Tico,01/01/2024,08:25:32,6,29.5,129,Cartão de Crédito,177.0
6026,"Focaccia Tomate, Alecrim e flor sal",01/01/2024,08:33:02,5,20.0,170,Cartão de Crédito,100.0
15287,Azapa,01/01/2024,08:35:29,4,34.0,199,Cartão de Débito,136.0
6927,Brioche,01/01/2024,08:38:33,5,25.0,101,Cartão de Débito,125.0
2595,Azapa,01/01/2024,08:40:29,1,34.0,129,Dinheiro,34.0
7747,"Focaccia Tomate, Alecrim e flor sal",01/01/2024,08:44:17,7,20.0,169,Dinheiro,140.0
3132,Pain au chocolat,01/01/2024,08:50:24,1,13.5,108,Cartão de Crédito,13.5
12645,Pain au chocolat,01/01/2024,08:52:30,5,13.5,182,Cartão de Débito,67.5
14054,Tradicional/Seu Tico,01/01/2024,09:06:32,5,29.5,167,Cartão de Crédito,147.5
1404,Danish Gorgonzola com amêndoas,01/01/2024,09:11:13,9,15.0,129,Dinheiro,135.0
4197,Croissant de Amêndoas,01/01/2024,09:11:38,10,18.0,146,Cartão de Débito,180.0
7586,Croissant,01/01/2024,09:22:44,8,11.5,149,Dinheiro,92.0
11123,Baguete calabresa com Alecrim,01/01/2024,09:45:09,3,12.0,160,Cartão de Débito,36.0
12486,Danish Gorgonzola com amêndoas,01/01/2024,09:48:07,1,15.0,179,Cartão de Débito,15.0
1394,Supreme de Pistache,01/01/2024,09:57:51,2,21.0,145,Cartão de Crédito,42.0
8628,Pastel de nata,01/01/2024,10:24:38,20,8.5,194,Cartão de Crédito,170.0
3364,Supreme / Croissant NY Chocolate,01/01/2024,10:27:55,8,19.0,100,Dinheiro,152.0
6197,Danish Gorgonzola com amêndoas,01/01/2024,10:30:49,5,15.0,184,Cartão de Crédito,75.0
9613,Tartelete de caramelo e chocolate,01/01/2024,10:35:19,7,16.0,176,Cartão de Débito,112.0
4552,Pain aux Suisse,01/01/2024,10:41:15,6,14.0,101,Cartão de Débito,84.0
1993,Gorgonzola com nozes,01/01/2024,10:45:17,6,36.5,177,Cartão de Débito,219.0
4094,Pain au chocolat,01/01/2024,10:49:07,1,13.5,107,Cartão de Crédito,13.5
5509,kouign-amann,01/01/2024,10:58:07,7,18.0,130,Cartão de Débito,126.0
9830,Tartelete de limão,01/01/2024,11:03:18,6,16.0,183,Cartão de Débito,96.0
11599,Cruffin de Creme de Avelã,01/01/2024,11:13:59,3,16.0,134,Dinheiro,48.0
12233,Baguete,01/01/2024,11:16:37,1,10.0,146,Dinheiro,10.0
1178,Tradicional/Seu Tico,01/01/2024,11:19:16,7,29.5,103,Cartão de Débito,206.5
4169,Pain au chocolat,01/01/2024,11:20:32,5,13.5,105,Dinheiro,67.5
15198,Croissant de Amêndoas,01/01/2024,11:47:35,9,18.0,143,Cartão de Crédito,162.0
2490,"Focaccia Tomate, Alecrim e flor sal",01/01/2024,12:08:24,3,20.0,133,Cartão de Crédito,60.0
9987,Pain aux Suisse,01/01/2024,12:09:34,10,14.0,137,Cartão de Débito,140.0
560,Azapa,01/01/2024,12:13:29,3,34.0,107,Dinheiro,102.0
1168,Gorgonzola com nozes,01/01/2024,12:16:49,1,36.5,138,Cartão de Crédito,36.5
9790,Cruffin de Creme de Avelã,01/01/2024,12:21:48,1,16.0,136,Cartão de Crédito,16.0
4359,Baguete,01/01/2024,12:50:51,8,10.0,195,Cartão de Débito,80.0
